,,Literacy Skills (%),,,,,
DistrictName,Number of Students Tested,Level 1,Level 2,Level 3,,,
Ledyard School District,115,20.0,44.3,35.7,,,
Lisbon School District,32,9.4,31.3,59.4,,,
Litchfield School District,56,32.1,42.9,25.0,,,
Madison School District,146,8.2,24.7,67.1,,,
Manchester School District,590,38.1,42.9,19.0,,,
Mansfield School District,136,27.2,41.9,30.9,,,
Marlborough School District,53,3.8,20.8,75.5,,,
Meriden School District,733,25.6,36.2,38.2,,,
Middletown School District,426,59.4,32.2,8.5,,,
Milford School District,466,12.2,30.5,57.3,,,
Monroe School District,191,12.0,43.5,44.5,,,
Montville School District,170,16.5,37.6,45.9,,,
Naugatuck School District,327,33.6,49.2,17.1,,,
New Britain School District,947,30.1,41.9,28.0,,,
New Canaan School District,312,8.0,38.1,53.8,,,
New Fairfield School District,148,17.6,57.4,25.0,,,
New Hartford School District,71,16.9,60.6,22.5,,,
New Haven School District,1716,31.4,42.4,26.2,,,
Newington School District,284,21.5,51.1,27.5,,,
New London School District,222,29.3,41.4,29.3,,,
New Milford School District,306,18.0,35.9,46.1,,,
Newtown School District,179,13.4,35.2,51.4,,,
Norfolk School District,16,25.0,25.0,50.0,,,
North Branford School District,108,12.0,28.7,59.3,,,
North Canaan School District,55,18.2,40.0,41.8,,,
North Haven School District,213,15.0,39.4,45.5,,,
North Stonington School District,64,10.9,7.8,81.3,,,
Norwalk School District,940,27.8,41.2,31.1,,,
Norwich School District,374,28.3,51.3,20.3,,,
Old Saybrook School District,83,6.0,19.3,74.7,,,
Orange School District,288,18.4,39.6,42.0,,,
Oxford School District,135,5.2,18.5,76.3,,,
Plainfield School District,89,25.8,42.7,31.5,,,
Plainville School District,152,17.8,38.8,43.4,,,
Plymouth School District,90,11.1,38.9,50.0,,,
Pomfret School District,29,17.2,48.3,34.5,,,
Portland School District,106,15.1,60.4,24.5,,,
Preston School District,50,18.0,54.0,28.0,,,
Putnam School District,89,5.6,38.2,56.2,,,
Ridgefield School District,310,12.3,32.6,55.2,,,
Rocky Hill School District,164,7.3,20.1,72.6,,,
Salem School District,43,16.3,16.3,67.4,,,
Salisbury School District,29,31.0,13.8,55.2,,,
Scotland School District,10,20.0,40.0,40.0,,,
Seymour School District,169,23.7,43.2,33.1,,,
Sharon School District,24,12.5,33.3,54.2,,,
Shelton School District,304,27.0,43.4,29.6,,,
Sherman School District,24,4.2,16.7,79.2,,,
Simsbury School District,246,4.1,21.5,74.4,,,
Somers School District,91,26.4,25.3,48.4,,,
Southington School District,422,19.4,50.5,30.1,,,
South Windsor School District,201,9.5,35.3,55.2,,,
Sprague School District,42,11.9,31.0,57.1,,,
Stafford School District,104,27.9,39.4,32.7,,,
Stamford School District,1428,28.8,38.9,32.3,,,
Sterling School District,47,40.4,29.8,29.8,,,
Stonington School District,158,20.9,29.1,50.0,,,
Stratford School District,481,17.9,33.5,48.6,,,
Suffield School District,119,12.6,45.4,42.0,,,
Thomaston School District,63,9.5,31.7,58.7,,,
Thompson School District,80,16.3,35.0,48.8,,,
Tolland School District,159,3.1,69.8,27.0,,,
Torrington School District,386,29.5,41.5,29.0,,,
Trumbull School District,410,26.3,51.5,22.2,,,
Vernon School District,263,19.8,28.9,51.3,,,
Voluntown School District,27,3.7,18.5,77.8,,,
Wallingford School District,363,15.2,39.7,45.2,,,
Waterbury School District,1727,28.0,46.1,25.9,,,
Waterford School District,120,20.8,25.0,54.2,,,
Watertown School District,209,15.8,48.3,35.9,,,
Westbrook School District,43,18.6,41.9,39.5,,,
West Hartford School District,704,18.2,39.8,42.0,,,
West Haven School District,489,34.8,47.9,17.4,,,
Weston School District,116,4.3,27.6,68.1,,,
Westport School District,363,14.9,38.3,46.8,,,
Wethersfield School District,256,14.8,36.3,48.8,,,
Willington School District,52,19.2,42.3,38.5,,,
Wilton School District,244,4.9,15.2,79.9,,,
Windham School District,314,30.6,43.3,26.1,,,
Windsor School District,214,22.9,34.6,42.5,,,
Windsor Locks School District,132,11.4,48.5,40.2,,,
Wolcott School District,151,14.6,27.8,57.6,,,
Woodstock School District,72,11.1,22.2,66.7,,,
Regional School District 06,51,13.7,29.4,56.9,,,
Regional School District 10,81,6.2,24.7,69.1,,,
Regional School District 12,36,13.9,38.9,47.2,,,
Regional School District 13,123,13.0,47.2,39.8,,,
Regional School District 15,222,13.1,36.5,50.5,,,
Regional School District 16,170,27.1,50.0,22.9,,,
Regional School District 17,126,4.8,17.5,77.8,,,
Regional School District 18,81,9.9,38.3,51.9,,,
Capitol Region Education Council,463,17.5,34.3,48.2,,,
Cooperative Educational Services,53,7.5,32.1,60.4,,,
Learn,158,10.1,46.2,43.7,,,
Jumoke Academy District,45,8.9,57.8,33.3,,,
Integrated Day Charter School District,33,12.1,36.4,51.5,,,
Side By Side Charter School District,22,4.5,36.4,59.1,,,
Amistad Academy District,92,4.3,26.1,69.6,,,
Bridgeport Achievement First District,89,65.2,34.8,0.0,,,
Achievement First Hartford Academy Inc. District,89,7.9,70.8,21.3,,,
Elm City College Preparatory School District,62,12.9,58.1,29.0,,,
Statewide,37447,22.5,39.2,38.3,,,
