District ID,District Name,School Year,Number of Students Tested,Literacy Skills (%) Level 1,Literacy Skills (%) Level 2,Literacy Skills (%) Level 3
125,Sharon School District,2009-10,24,8.3,54.2,37.5
126,Shelton School District,2009-10,333,25.5,48.3,26.1
127,Sherman School District,2009-10,38,10.5,13.2,76.3
270,Side By Side Community School District,2009-10,22,22.7,36.4,40.9
128,Simsbury School District,2009-10,270,10,23.7,66.3
129,Somers School District,2009-10,85,14.1,15.3,70.6
132,South Windsor School District,2009-10,246,13.4,41.9,44.7
131,Southington School District,2009-10,467,27.2,49.5,23.3
133,Sprague School District,2009-10,33,18.2,30.3,51.5
134,Stafford School District,2009-10,111,33.3,35.1,31.5
135,Stamford School District,2009-10,1293,29.5,43.9,26.6
136,Sterling School District,2009-10,43,7,25.6,67.4
137,Stonington School District,2009-10,151,15.2,57,27.8
138,Stratford School District,2009-10,542,22.5,38,39.5
139,Suffield School District,2009-10,159,17.6,29.6,52.8
140,Thomaston School District,2009-10,66,30.3,39.4,30.3
141,Thompson School District,2009-10,95,24.2,50.5,25.3
142,Tolland School District,2009-10,201,13.4,50.7,35.8
143,Torrington School District,2009-10,401,35.9,34.7,29.4
144,Trumbull School District,2009-10,478,13.8,38.3,47.9
145,Union School District,2009-10,6,16.7,50,33.3
146,Vernon School District,2009-10,300,30,44,26
147,Voluntown School District,2009-10,31,16.1,12.9,71
148,Wallingford School District,2009-10,409,23.5,39.6,36.9
151,Waterbury School District,2009-10,1651,39.4,41.9,18.7
152,Waterford School District,2009-10,128,32.8,42.2,25
153,Watertown School District,2009-10,221,9.5,44.8,45.7
155,West Hartford School District,2009-10,791,15.3,42.5,42.2
156,West Haven School District,2009-10,556,40.3,38.1,21.6
154,Westbrook School District,2009-10,67,25.4,40.3,34.3
157,Weston School District,2009-10,158,12,77.8,10.1
158,Westport School District,2009-10,376,15.2,54.8,30.1
160,Willington School District,2009-10,52,7.7,17.3,75
161,Wilton School District,2009-10,271,7.7,23.2,69
162,Winchester School District,2009-10,84,60.7,28.6,10.7
163,Windham School District,2009-10,279,29.7,46.2,24
165,Windsor Locks School District,2009-10,124,17.7,47.6,34.7
164,Windsor School District,2009-10,172,19.2,35.5,45.3
166,Wolcott School District,2009-10,155,18.7,46.5,34.8
167,Woodbridge School District,2009-10,95,29.5,49.5,21.1
169,Woodstock School District,2009-10,88,51.1,30.7,18.2
,Statewide,2009-10,37907,23.80479595,41.02586066,35.17573799
