District ID,District Name,School Year,Number of Students Tested,Creative/Aesthetic Skills (%) Level 1,Creative/Aesthetic Skills (%) Level 2,Creative/Aesthetic Skills (%) Level 3
264,Integrated Day Charter School District,2008-09,34,5.9,23.5,70.6
261,Jumoke Academy District,2008-09,40,2.5,65,32.5
68,Kent School District,2008-09,39,5.1,20.5,74.4
69,Killingly School District,2008-09,195,10.3,43.1,46.7
245,Learn,2008-09,273,7.3,33,59.7
71,Lebanon School District,2008-09,88,11.4,81.8,6.8
72,Ledyard School District,2008-09,173,6.4,59,34.7
73,Lisbon School District,2008-09,50,12,28,60
74,Litchfield School District,2008-09,90,20,80,0
76,Madison School District,2008-09,200,1.5,68.5,30
77,Manchester School District,2008-09,526,24.1,52.9,23
78,Mansfield School District,2008-09,114,9.6,51.8,38.6
79,Marlborough School District,2008-09,98,4.1,39.8,56.1
80,Meriden School District,2008-09,660,27.1,47.1,25.8
83,Middletown School District,2008-09,498,13.5,46,40.6
84,Milford School District,2008-09,535,6.9,40.2,52.9
85,Monroe School District,2008-09,250,2.4,24.8,72.8
86,Montville School District,2008-09,176,5.1,39.8,55.1
88,Naugatuck School District,2008-09,338,10.1,55,34.9
280,"New Beginnings Inc., Family Academy District",2008-09,60,3.3,60,36.7
89,New Britain School District,2008-09,742,22.9,51.1,26
90,New Canaan School District,2008-09,314,3.5,43,53.5
91,New Fairfield School District,2008-09,176,5.1,33,61.9
92,New Hartford School District,2008-09,84,1.2,42.9,56
93,New Haven School District,2008-09,1566,20.9,49.5,29.6
95,New London School District,2008-09,239,6.7,38.5,54.8
96,New Milford School District,2008-09,333,8.1,54.7,37.2
94,Newington School District,2008-09,312,11.2,45.2,43.6
97,Newtown School District,2008-09,319,0.9,12.2,86.8
98,Norfolk School District,2008-09,11,9.1,27.3,63.6
99,North Branford School District,2008-09,167,8.4,43.1,48.5
100,North Canaan School District,2008-09,35,17.1,80,2.9
101,North Haven School District,2008-09,245,11,37.1,51.8
102,North Stonington School District,2008-09,62,9.7,66.1,24.2
103,Norwalk School District,2008-09,884,7.9,48.6,43.4
104,Norwich School District,2008-09,389,17,41.1,41.9
106,Old Saybrook School District,2008-09,99,2,22.2,75.8
107,Orange School District,2008-09,162,1.2,7.4,91.4
108,Oxford School District,2008-09,172,3.5,5.8,90.7
109,Plainfield School District,2008-09,172,14,68,18
110,Plainville School District,2008-09,161,7.5,62.1,30.4
111,Plymouth School District,2008-09,109,4.6,67,28.4
112,Pomfret School District,2008-09,56,0,33.9,66.1
113,Portland School District,2008-09,102,4.9,67.6,27.5
114,Preston School District,2008-09,51,2,54.9,43.1
116,Putnam School District,2008-09,97,21.6,37.1,41.2
117,Redding School District,2008-09,109,6.4,46.8,46.8
206,Regional School District 06,2008-09,46,2.2,10.9,87
210,Regional School District 10,2008-09,210,20,49,31
212,Regional School District 12,2008-09,59,0,0,100
213,Regional School District 13,2008-09,149,6.7,57.7,35.6
214,Regional School District 14,2008-09,118,2.5,37.3,60.2
215,Regional School District 15,2008-09,299,5.7,43.5,50.8
216,Regional School District 16,2008-09,197,3,54.8,42.1
217,Regional School District 17,2008-09,167,6,31.7,62.3
218,Regional School District 18,2008-09,95,8.4,40,51.6
118,Ridgefield School District,2008-09,330,2.4,23,74.5
119,Rocky Hill School District,2008-09,185,2.2,11.4,86.5
121,Salem School District,2008-09,44,0,2.3,97.7
122,Salisbury School District,2008-09,25,0,4,96
123,Scotland School District,2008-09,19,15.8,52.6,31.6
124,Seymour School District,2008-09,168,3,44,53
125,Sharon School District,2008-09,21,0,23.8,76.2
126,Shelton School District,2008-09,374,14.2,44.9,40.9
127,Sherman School District,2008-09,31,0,16.1,83.9
270,Side By Side Community School District,2008-09,22,0,22.7,77.3
128,Simsbury School District,2008-09,274,2.9,17.5,79.6
129,Somers School District,2008-09,96,0,24,76
132,South Windsor School District,2008-09,171,1.8,19.9,78.4
131,Southington School District,2008-09,489,17,53.2,29.9
133,Sprague School District,2008-09,38,26.3,15.8,57.9
134,Stafford School District,2008-09,121,0,15.7,84.3
