District,CorrectDistrict,FIPS
North Canaan School District,North Canaan School District,
North Haven School District,North Haven School District,900954870
North Stonington School District,North Stonington School District,901155500
Norwalk School District,Norwalk School District,900156060
Norwich School District,Norwich School District,901156270
Old Saybrook School District,Old Saybrook School District,900757320
Orange School District,Orange School District,
Oxford School District,Oxford School District,900958300
Plainfield School District,Plainfield School District,901559980
Plainville School District,Plainville School District,900360120
Plymouth School District,Plymouth School District,900560750
Pomfret School District,Pomfret School District,
Portland School District,Portland School District,900761800
Preston School District,Preston School District,
Putnam School District,Putnam School District,901562710
Redding School District,Redding School District,
Regional School District 06,Regional School District 06,
Regional School District 10,Regional School District 10,
Regional School District 12,Regional School District 12,
Regional School District 13,Regional School District 13,
Regional School District 14,Regional School District 14,
Regional School District 15,Regional School District 15,
Regional School District 16,Regional School District 16,
Regional School District 17,Regional School District 17,
Regional School District 18,Regional School District 18,
Ridgefield School District,Ridgefield School District,900163970
Rocky Hill School District,Rocky Hill School District,900365370
Salem School District,Salem School District,
Salisbury School District,Salisbury School District,
Scotland School District,Scotland School District,
Seymour School District,Seymour School District,900967610
Sharon School District,Sharon School District,
Shelton School District,Shelton School District,900168170
Sherman School District,Sherman School District,
Side By Side Charter School District,Side By Side Charter School District,
Side By Side Community School District,Side By Side Charter School District,
Simsbury School District,Simsbury School District,900368940
Somers School District,Somers School District,901369220
South Windsor School District,South Windsor School District,900371390
Southington School District,Southington School District,900370550
Sprague School District,Sprague School District,
Stafford School District,Stafford School District,901372090
Stamford School District,Stamford School District,900173070
Statewide,Connecticut,
Sterling School District,Sterling School District,
Stonington School District,Stonington School District,901173770
Stratford School District,Stratford School District,900174190
Suffield School District,Suffield School District,900374540
Thomaston School District,Thomaston School District,900575730
Thompson School District,Thompson School District,901575870
Tolland School District,Tolland School District,901376290
Torrington School District,Torrington School District,900576570
Trumbull School District,Trumbull School District,900177200
Union School District,Union School District,
Vernon School District,Vernon School District,901378250
Voluntown School District,Voluntown School District,
Wallingford School District,Wallingford School District,900978740
Waterbury School District,Waterbury School District,900980070
Waterford School District,Waterford School District,901180280
Watertown School District,Watertown School District,900580490
West Hartford School District,West Hartford School District,900382590
West Haven School District,West Haven School District,900982870
Westbrook School District,Westbrook School District,900781680
Weston School District,Weston School District,900183430
Westport School District,Westport School District,900183500
Wethersfield School District,Wethersfield School District,900384900
Willington School District,Willington School District,
Wilton School District,Wilton School District,900186370
Winchester School District,Winchester School District,900586440
Windham School District,Windham School District,901586790
Windsor Locks School District,Windsor Locks School District,900387070
Windsor School District,Windsor School District,900387000
Wolcott School District,Wolcott School District,900987560
Woodbridge School District,Woodbridge School District,
Woodstock School District,Woodstock School District,
