,Language,,,Literacy,,,Numeracy,,,Physical,,,Creative,,,Personal,,
DistrictName,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3
Hamden School District,25.1,45.2,29.7,23.7,43.3,33.0,22.2,43.6,34.2,13.1,48.7,38.2,15.0,46.4,38.6,19.2,47.1,33.7
Hartford School District,33.1,45.4,21.5,36.5,42.8,20.6,34.3,45.2,20.6,17.8,52.6,29.7,17.5,54.4,28.2,25.3,49.3,25.4
Hartland School District,0.0,16.7,83.3,0.0,11.1,88.9,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,5.6,94.4
Hebron School District,6.9,31.0,62.1,10.3,34.5,55.2,8.0,28.7,63.2,3.4,26.4,70.1,4.6,25.3,70.1,3.4,36.8,59.8
Kent School District,20.0,56.0,24.0,36.0,32.0,32.0,28.0,40.0,32.0,20.0,60.0,20.0,0.0,48.0,52.0,0.0,40.0,60.0
Killingly School District,26.6,44.3,29.1,26.6,41.8,31.6,24.1,40.5,35.4,17.7,50.0,32.3,11.4,51.3,37.3,18.4,39.9,41.8
Lebanon School District,18.6,44.2,37.2,20.9,34.9,44.2,16.3,34.9,48.8,11.6,46.5,41.9,4.7,53.5,41.9,14.0,53.5,32.6
Ledyard School District,17.5,41.5,40.9,20.5,34.5,45.0,16.4,37.4,46.2,11.1,40.9,48.0,10.5,39.8,49.7,12.9,44.4,42.7
Lisbon School District,25.0,35.0,40.0,25.0,30.0,45.0,25.0,30.0,45.0,10.0,40.0,50.0,20.0,30.0,50.0,20.0,45.0,35.0
Litchfield School District,13.8,75.9,10.3,27.6,65.5,6.9,13.8,67.2,19.0,6.9,63.8,29.3,15.5,58.6,25.9,43.1,46.6,10.3
Madison School District,6.5,37.3,56.2,11.8,31.4,56.9,5.9,24.2,69.9,3.9,30.7,65.4,3.9,34.6,61.4,7.8,35.3,56.9
Manchester School District,46.1,37.1,16.8,44.5,39.2,16.3,43.8,39.2,17.0,35.6,42.7,21.6,34.4,43.4,22.2,42.6,40.1,17.4
Mansfield School District,24.1,42.0,33.9,23.2,42.0,34.8,15.2,44.6,40.2,9.8,53.6,36.6,7.1,48.2,44.6,17.9,51.8,30.4
Marlborough School District,3.5,15.8,80.7,7.0,19.3,73.7,3.5,31.6,64.9,1.8,17.5,80.7,3.5,10.5,86.0,5.3,10.5,84.2
Meriden School District,33.2,33.6,33.2,38.9,36.0,25.1,34.8,38.8,26.4,20.3,43.6,36.0,23.4,50.5,26.0,25.5,43.9,30.6
Middletown School District,30.6,42.6,26.7,28.4,43.4,28.2,25.5,45.1,29.4,15.9,53.2,30.9,17.6,46.6,35.8,25.2,42.9,31.9
Milford School District,11.2,34.2,54.5,13.9,36.8,49.3,6.5,36.1,57.4,3.8,23.4,72.7,2.2,16.7,81.1,6.2,35.6,58.1
Monroe School District,18.0,52.6,29.4,20.1,47.4,32.5,16.5,52.6,30.9,7.7,42.3,50.0,7.7,40.7,51.5,14.4,49.0,36.6
Montville School District,17.2,40.0,42.8,13.9,42.2,43.9,9.4,42.2,48.3,7.2,36.7,56.1,5.0,36.1,58.9,11.7,38.3,50.0
Naugatuck School District,21.6,42.9,35.6,22.9,45.7,31.4,19.7,49.2,31.1,11.4,38.4,50.2,11.4,39.4,49.2,14.6,35.9,49.5
New Britain School District,48.6,36.5,14.9,52.5,34.1,13.4,50.5,36.0,13.5,29.5,46.9,23.6,33.1,45.3,21.6,39.7,45.1,15.3
New Canaan School District,7.0,30.7,62.2,11.5,31.5,57.0,6.7,28.9,64.4,1.5,27.4,71.1,2.2,24.4,73.3,3.3,36.7,60.0
New Fairfield School District,9.3,48.1,42.6,13.6,45.7,40.7,13.0,49.4,37.7,6.2,44.4,49.4,4.3,32.7,63.0,5.6,48.8,45.7
New Hartford School District,5.7,49.1,45.3,3.8,58.5,37.7,0.0,66.0,34.0,1.9,54.7,43.4,0.0,56.6,43.4,1.9,50.9,47.2
New Haven School District,32.4,41.3,26.2,31.1,41.9,26.9,30.0,41.5,28.5,12.6,44.5,42.9,14.4,44.7,40.9,19.8,47.2,33.1
Newington School District,24.0,53.1,22.9,20.2,47.7,32.2,16.3,53.5,30.2,8.9,45.0,46.1,11.2,47.7,41.1,15.5,50.0,34.5
New London School District,27.6,38.7,33.7,36.2,40.3,23.5,28.0,47.3,24.7,11.5,36.2,52.3,13.6,35.8,50.6,20.2,37.0,42.8
New Milford School District,29.9,42.1,28.0,29.5,35.8,34.7,21.8,43.2,35.1,10.7,51.3,38.0,8.1,52.8,39.1,22.5,47.2,30.3
Newtown School District,13.9,34.0,52.0,9.4,36.1,54.5,7.4,30.7,61.9,3.7,23.8,72.5,2.9,22.1,75.0,5.7,33.6,60.7
Norfolk School District,14.3,28.6,57.1,14.3,28.6,57.1,14.3,50.0,35.7,0.0,28.6,71.4,0.0,14.3,85.7,0.0,35.7,64.3
North Branford School District,36.9,32.3,30.8,31.5,35.4,33.1,30.8,40.8,28.5,16.9,50.0,33.1,16.9,50.8,32.3,33.1,36.2,30.8
North Canaan School District,0.0,40.9,59.1,0.0,50.0,50.0,0.0,45.5,54.5,0.0,22.7,77.3,0.0,22.7,77.3,0.0,18.2,81.8
North Haven School District,31.3,43.6,25.1,28.2,47.7,24.1,24.1,50.3,25.6,12.3,35.9,51.8,12.3,47.7,40.0,17.4,53.3,29.2
North Stonington School District,0.0,19.6,80.4,3.6,21.4,75.0,1.8,10.7,87.5,0.0,5.4,94.6,0.0,5.4,94.6,0.0,23.2,76.8
Norwalk School District,30.3,40.3,29.4,30.4,39.8,29.8,25.5,42.1,32.4,10.3,50.2,39.6,9.9,55.5,34.5,22.2,47.8,29.9
Norwich School District,37.4,41.5,21.1,30.6,48.0,21.4,30.1,48.8,21.1,14.1,51.2,34.7,17.6,50.9,31.4,32.2,42.8,24.9
Old Saybrook School District,25.3,38.7,36.0,22.7,40.0,37.3,21.3,50.7,28.0,17.3,24.0,58.7,13.3,9.3,77.3,18.7,25.3,56.0
Orange School District,7.5,36.8,55.7,12.3,23.6,64.2,6.6,30.2,63.2,3.8,22.6,73.6,1.9,22.6,75.5,4.7,23.6,71.7
Oxford School District,7.8,19.8,72.4,17.2,15.5,67.2,9.5,17.2,73.3,8.6,6.0,85.3,6.9,5.2,87.9,5.2,18.1,76.7
Plainfield School District,37.8,38.5,23.6,43.9,35.1,20.9,35.8,41.9,22.3,12.2,61.5,26.4,39.2,45.3,15.5,24.3,50.0,25.7
Plainville School District,22.3,39.4,38.3,17.7,42.9,39.4,13.7,47.4,38.9,12.0,40.0,48.0,9.7,39.4,50.9,17.1,41.7,41.1
Plymouth School District,12.7,50.9,36.4,19.1,43.6,37.3,15.5,40.9,43.6,8.2,50.9,40.9,4.5,53.6,41.8,7.3,54.5,38.2
Pomfret School District,17.9,53.6,28.6,17.9,67.9,14.3,14.3,42.9,42.9,3.6,39.3,57.1,14.3,32.1,53.6,21.4,60.7,17.9
Portland School District,17.8,60.0,22.2,13.3,61.1,25.6,10.0,73.3,16.7,11.1,70.0,18.9,5.6,71.1,23.3,16.7,58.9,24.4
Preston School District,36.1,47.2,16.7,19.4,58.3,22.2,25.0,55.6,19.4,19.4,63.9,16.7,25.0,55.6,19.4,11.1,63.9,25.0
Putnam School District,8.7,15.4,76.0,22.1,10.6,67.3,12.5,20.2,67.3,1.9,13.5,84.6,3.8,18.3,77.9,8.7,21.2,70.2
Redding School District,16.7,39.3,44.0,19.0,44.0,36.9,14.3,50.0,35.7,7.1,40.5,52.4,1.2,46.4,52.4,9.5,44.0,46.4
Ridgefield School District,4.2,24.8,71.0,8.1,16.8,75.2,4.2,20.6,75.2,1.6,18.1,80.3,1.9,18.1,80.0,3.5,24.5,71.9
Rocky Hill School District,21.6,32.0,46.4,20.3,32.0,47.7,15.0,31.4,53.6,8.5,24.2,67.3,6.5,26.1,67.3,15.0,24.2,60.8
Salem School District,17.1,41.5,41.5,19.5,39.0,41.5,2.4,41.5,56.1,0.0,29.3,70.7,2.4,29.3,68.3,14.6,41.5,43.9
Seymour School District,15.9,42.3,41.8,17.0,42.3,40.7,12.6,44.0,43.4,16.5,36.3,47.3,7.7,42.3,50.0,13.2,37.9,48.9
Shelton School District,18.5,47.7,33.8,28.8,40.2,31.0,21.4,44.1,34.5,17.1,51.6,31.3,13.9,53.0,33.1,18.9,46.6,34.5
Sherman School District,4.0,8.0,88.0,4.0,32.0,64.0,4.0,24.0,72.0,0.0,24.0,76.0,4.0,20.0,76.0,8.0,8.0,84.0
Simsbury School District,6.1,22.2,71.7,8.3,28.7,63.0,6.5,23.5,70.0,3.9,28.3,67.8,2.6,21.3,76.1,6.5,19.6,73.9
Somers School District,14.1,39.4,46.5,23.9,33.8,42.3,12.7,38.0,49.3,12.7,28.2,59.2,8.5,32.4,59.2,15.5,43.7,40.8
Southington School District,21.4,54.2,24.3,18.1,57.1,24.8,14.5,57.4,28.1,9.4,48.9,41.7,8.0,51.3,40.6,16.1,54.5,29.5
South Windsor School District,23.6,35.6,40.8,20.2,41.8,38.0,19.2,38.7,42.1,7.9,32.2,59.9,9.2,32.2,58.6,21.2,30.5,48.3
Sprague School District,18.2,21.2,60.6,18.2,36.4,45.5,15.2,39.4,45.5,9.1,18.2,72.7,15.2,30.3,54.5,12.1,30.3,57.6
Stafford School District,15.4,48.0,36.6,22.0,44.7,33.3,15.4,39.8,44.7,6.5,31.7,61.8,6.5,35.0,58.5,12.2,44.7,43.1
Stamford School District,27.7,39.9,32.5,25.0,42.8,32.3,21.2,41.5,37.3,8.3,40.4,51.3,11.0,41.0,48.0,17.2,43.9,38.8
Sterling School District,45.8,37.5,16.7,41.7,45.8,12.5,33.3,52.1,14.6,18.8,52.1,29.2,20.8,47.9,31.3,33.3,50.0,16.7
Stonington School District,14.2,22.0,63.8,15.0,24.4,60.6,7.1,27.6,65.4,3.1,26.8,70.1,3.9,25.2,70.9,6.3,26.0,67.7
